chrom	start	end	sample	p-value	src_sample	hap_index	S*_start	S*_end	S*_SNP_num	hap_dSNV_num	hap_len	hap_mapped_len	hap_match_num	hap_tot_num	hap_dSNP_per_site_num	hap_S*_match(%)	hap_num_match_ref
21	10520000	10570000	NA06984	0.820829	Nean	1	10525346	10544819	2	14	19473	19000	1.0	14	0.503571	0.071429	893
21	10740000	10790000	NA06984	1.0	Nean	1	10768104	10784188	2	29	16084	16000	0.0	31	0.589655	0.0	102
21	10750000	10800000	NA06984	1.0	Nean	1	10768104	10784188	2	29	16084	16000	0.0	31	0.589655	0.0	102
21	10760000	10810000	NA06984	1.0	Nean	1	10768104	10784188	2	29	16084	16000	0.0	31	0.589655	0.0	102
21	10980000	11030000	NA06984	1.0	Nean	2	10982565	10997128	4	22	14563	14000	0.0	24	0.713636	0.0	2875
21	14590000	14640000	NA06984	0.976562	Nean	2	14614707	14630073	4	30	15366	15000	1.0	35	0.54	0.028571	256
21	14670000	14720000	NA06984	1.0	Nean	2	14681221	14691232	5	11	10011	10000	0.0	12	0.477273	0.0	19307
21	14680000	14730000	NA06984	1.0	Nean	2	14681221	14691232	5	11	10011	10000	0.0	12	0.477273	0.0	19307
21	14710000	14760000	NA06984	1.0	Nean	2	14741698	14759452	4	25	17754	17000	0.0	25	0.52	0.0	1128
21	14720000	14770000	NA06984	1.0	Nean	2	14741698	14761188	5	27	19490	19000	0.0	27	0.511111	0.0	246
21	14860000	14910000	NA06984	0.627892	Nean	2	14891329	14907226	8	17	15897	15000	1.0	17	0.226471	0.058824	1556
21	15480000	15530000	NA06984	0.118046	Nean	1	15480003	15495503	9	23	15500	15000	19.0	40	0.373913	0.475	737
21	15650000	15700000	NA06984	0.41989	Nean	2	15680297	15697042	10	24	16745	16000	11.0	39	0.60625	0.282051	2534
21	15660000	15710000	NA06984	0.671533	Nean	2	15680297	15703031	11	32	22734	22000	11.0	54	0.589062	0.203704	137
21	15700000	15750000	NA06984	0.558642	Nean	2	15703031	15726002	6	15	22971	22000	7.0	53	0.486667	0.132075	972
21	15710000	15760000	NA06984	0.587198	Nean	1	15715176	15735031	4	11	19855	19000	3.0	35	0.290909	0.085714	1531
21	15730000	15780000	NA06984	0.253012	Nean	2	15755182	15774364	4	21	19182	19000	6.0	28	0.502381	0.214286	166
21	15760000	15810000	NA06984	0.803084	Nean	2	15767216	15780217	3	12	13001	13000	1.0	16	0.4875	0.0625	6160
21	15900000	15950000	NA06984	0.245098	Nean	1	15919124	15933282	3	28	14158	14000	13.0	40	0.307143	0.325	102
21	15910000	15960000	NA06984	0.245098	Nean	1	15919124	15933282	3	28	14158	14000	13.0	40	0.307143	0.325	102
21	15930000	15980000	NA06984	0.576937	Nean	2	15960639	15970716	3	17	10077	10000	7.0	32	0.5	0.21875	5446
21	15940000	15990000	NA06984	0.576937	Nean	2	15960639	15970716	3	17	10077	10000	7.0	32	0.5	0.21875	5446
