chrom	start	end	sample	S*_score	expected_S*_score	local_recomb_rate	quantile	significant
21	9480000	9530000	NA06984	48493	53263.269232	1.29162	0.99	False
21	9650000	9700000	NA06984	55639	53754.835563	1.29162	0.99	True
21	9660000	9710000	NA06984	67250	53985.37344	1.29162	0.99	True
21	9670000	9720000	NA06984	51946	43684.695782	1.29162	0.99	True
21	9680000	9730000	NA06984	50609	35849.558253	1.29162	0.99	True
21	9690000	9740000	NA06984	50609	35036.28741	1.29162	0.99	True
21	9810000	9860000	NA06984	48526	58989.435989	1.29162	0.99	False
21	9820000	9870000	NA06984	57436	63154.309539	1.29162	0.99	False
21	9830000	9880000	NA06984	48427	62159.798915	1.29162	0.99	False
21	9840000	9890000	NA06984	48427	57335.02868	1.29162	0.99	False
21	9850000	9900000	NA06984	48427	55516.956446	1.29162	0.99	False
21	10480000	10530000	NA06984	33156	32506.156763	1.29162	0.99	True
21	10490000	10540000	NA06984	33156	32506.156763	1.29162	0.99	True
21	10500000	10550000	NA06984	62629	38194.074499	1.29162	0.99	True
21	10510000	10560000	NA06984	48286	36647.183437	1.29162	0.99	True
21	10520000	10570000	NA06984	29473	28009.546944	1.29162	0.99	True
21	10530000	10580000	NA06984	49145	21201.542303	1.29162	0.99	True
21	10540000	10590000	NA06984	63887	19161.457421	1.29162	0.99	True
21	10550000	10600000	NA06984	25359	17084.391891	1.29162	0.99	True
21	10560000	10610000	NA06984	25359	13905.677589	1.29162	0.99	True
21	10570000	10620000	NA06984	25359	21201.542303	1.29162	0.99	True
21	10680000	10730000	NA06984	34182	55974.553536	1.29162	0.99	False
21	10690000	10740000	NA06984	34182	59123.290618	1.29162	0.99	False
21	10720000	10770000	NA06984	61037	62820.797393	1.29162	0.99	False
21	10730000	10780000	NA06984	27682	65656.183924	1.29162	0.99	False
21	10740000	10790000	NA06984	51562	66780.226134	1.29162	0.99	False
21	10750000	10800000	NA06984	59881	66780.226134	1.29162	0.99	False
21	10760000	10810000	NA06984	80524	67993.836134	1.29162	0.99	True
21	10770000	10820000	NA06984	75349	68572.94793	1.29162	0.99	True
21	10780000	10830000	NA06984	66810	69136.361584	1.29162	0.99	False
21	10790000	10840000	NA06984	62426	69136.361584	1.29162	0.99	False
21	10800000	10850000	NA06984	58901	70884.172653	1.29162	0.99	False
21	10810000	10860000	NA06984	45600	69956.596825	1.29162	0.99	False
21	10820000	10870000	NA06984	31531	66980.070305	1.22695193444	0.99	False
21	10830000	10880000	NA06984	47456	63278.227949	1.06794513444	0.99	False
21	10900000	10950000	NA06984	40771	48872.287268	0.35735270648	0.99	False
21	10910000	10960000	NA06984	62579	44666.814053	0.31912613266	0.99	True
21	10920000	10970000	NA06984	82410	44098.100412	0.29322846022	0.99	True
21	10930000	10980000	NA06984	79213	45959.654796	0.27054772362	0.99	True
21	10940000	10990000	NA06984	85791	44194.793404	0.25181434476	0.99	True
21	10950000	11000000	NA06984	91665	47714.203601	0.48115599302	0.99	True
21	10960000	11010000	NA06984	73386	46418.250139	1.44857529678	0.99	True
21	10970000	11020000	NA06984	57120	39934.086587	2.42443781938	0.99	True
21	10980000	11030000	NA06984	34563	50850.731033	3.4091511661000005	0.99	False
21	10990000	11040000	NA06984	16431	54664.575511	4.25990154736	0.99	False
21	11040000	11090000	NA06984	58563	62945.502387	1.7769386166	0.99	False
21	11050000	11100000	NA06984	55662	61158.184381	1.81661015792	0.99	False
21	11060000	11110000	NA06984	46142	59638.503128	1.86339292988	0.99	False
21	11070000	11120000	NA06984	46142	62238.183393	1.93627507676	0.99	False
21	11080000	11130000	NA06984	70124	69519.078576	2.02790556716	0.99	True
21	11090000	11140000	NA06984	58989	73648.062977	2.23163934294	0.99	False
21	11100000	11150000	NA06984	36591	73427.244177	2.43280554666	0.99	False
21	14580000	14630000	NA06984	16836	62084.320692	0.62634372514	0.99	False
21	14590000	14640000	NA06984	30366	67563.040999	0.40213587822	0.99	False
21	14600000	14650000	NA06984	75091	66460.04594	0.10443131226000002	0.99	True
21	14610000	14660000	NA06984	101567	68388.216395	0.037419866120000006	0.99	True
21	14620000	14670000	NA06984	105031	67598.231323	0.06656149518	0.99	True
21	14630000	14680000	NA06984	91501	66028.465856	0.07856878594000001	0.99	True
21	14640000	14690000	NA06984	115443	62780.535365	0.10212798158000001	0.99	True
