chrom	start	end	sample	hap_index	S*_start	S*_end	post_null	post_src1	post_src2
21	15480000	15530000	NA06984	1	15480003	15495503	0.99998996	3.84e-06	6.19e-06
21	15650000	15700000	NA06984	2	15680297	15697042	0.99999852	4.6e-07	1.03e-06
21	15710000	15760000	NA06984	1	15715176	15735031	0.99999904	2.6e-07	7e-07
21	15960000	16010000	NA06984	1	15976639	15998545	0.99999917	2.1e-07	6.3e-07
21	16020000	16070000	NA06984	2	16045727	16060592	0.99999837	5e-07	1.14e-06
21	17390000	17440000	NA06984	1	17416162	17432845	0.99999943	1.4e-07	4.3e-07
21	17390000	17440000	NA06984	2	17409483	17426178	0.99998126	6.23e-06	1.251e-05
21	17400000	17450000	NA06984	1	17416162	17432845	0.99999943	1.4e-07	4.3e-07
21	17400000	17450000	NA06984	2	17409483	17426178	0.99998126	6.23e-06	1.251e-05
21	17410000	17460000	NA06984	1	17416162	17432845	0.99999943	1.4e-07	4.3e-07
21	17490000	17540000	NA06984	1	17522305	17535201	0.99999921	2.2e-07	5.8e-07
21	17490000	17540000	NA06984	2	17521556	17539526	0.99999859	2.9e-07	1.11e-06
21	17500000	17550000	NA06984	1	17522305	17535201	0.99999921	2.2e-07	5.8e-07
21	17540000	17590000	NA06984	2	17541157	17562121	0.99998642	4.13e-06	9.46e-06
21	17580000	17630000	NA06984	1	17610852	17624130	0.99999773	4e-07	1.88e-06
21	17580000	17630000	NA06984	2	17590732	17604706	0.99999902	2.9e-07	6.9e-07
21	17610000	17660000	NA06984	1	17610852	17624130	0.99999773	4e-07	1.88e-06
21	17660000	17710000	NA06984	2	17665452	17676254	0.99999915	2.5e-07	6e-07
21	17770000	17820000	NA06984	1	17773351	17786964	0.99998265	8.82e-06	8.53e-06
21	18950000	19000000	NA06984	2	18973620	18998616	0.99999796	8.1e-07	1.23e-06
21	19670000	19720000	NA06984	2	19700701	19717989	0.99999916	2.3e-07	6.1e-07
21	19720000	19770000	NA06984	2	19720178	19733098	0.99999862	5.1e-07	8.7e-07
21	20240000	20290000	NA06984	2	20245760	20269515	0.99999882	2.9e-07	8.9e-07
21	20340000	20390000	NA06984	2	20342733	20354082	0.99999471	2.22e-06	3.07e-06
21	20450000	20500000	NA06984	2	20453989	20467924	0.99999257	4.9e-06	2.54e-06
21	20510000	20560000	NA06984	2	20530700	20549056	0.99999812	2.6e-07	1.62e-06
21	20580000	20630000	NA06984	2	20584074	20598416	0.99999566	9.9e-07	3.35e-06
21	20860000	20910000	NA06984	1	20866660	20879160	0.99999734	7.2e-07	1.94e-06
21	21090000	21140000	NA06984	1	21124652	21135299	0.99997912	6.18e-06	1.47e-05
21	21090000	21140000	NA06984	2	21098201	21116553	0.99999949	1.7e-07	3.4e-07
21	21100000	21150000	NA06984	1	21124652	21135299	0.99997912	6.18e-06	1.47e-05
21	21110000	21160000	NA06984	1	21124652	21135299	0.99997912	6.18e-06	1.47e-05
21	21510000	21560000	NA06984	1	21533847	21558609	0.99999565	7.9e-07	3.57e-06
21	21740000	21790000	NA06984	1	21776026	21789664	0.99999923	2.1e-07	5.6e-07
21	21750000	21800000	NA06984	1	21776026	21791451	0.99999916	2.4e-07	6e-07
21	21760000	21810000	NA06984	1	21776026	21791451	0.99999916	2.4e-07	6e-07
21	21770000	21820000	NA06984	1	21776026	21791451	0.99999916	2.4e-07	6e-07
21	22030000	22080000	NA06984	2	22042662	22065178	0.99999911	1.7e-07	7.1e-07
21	22260000	22310000	NA06984	1	22286103	22303424	0.99999554	4.5e-07	4.02e-06
21	22270000	22320000	NA06984	2	22270003	22292733	0.9999995	1.2e-07	3.7e-07
21	22280000	22330000	NA06984	2	22280606	22292733	0.9999981	2.6e-07	1.65e-06
21	22820000	22870000	NA06984	2	22821643	22832441	0.99999821	4.8e-07	1.31e-06
21	22880000	22930000	NA06984	1	22880062	22895080	0.99999721	7.7e-07	2.02e-06
21	23330000	23380000	NA06984	1	23359351	23371324	0.99999918	2.6e-07	5.7e-07
21	23340000	23390000	NA06984	1	23359351	23371324	0.99999918	2.6e-07	5.7e-07
21	23350000	23400000	NA06984	1	23359351	23371324	0.99999918	2.6e-07	5.7e-07
21	23520000	23570000	NA06984	1	23553843	23568266	0.99999758	7.8e-07	1.64e-06
21	23530000	23580000	NA06984	1	23553843	23568266	0.99999758	7.8e-07	1.64e-06
21	23540000	23590000	NA06984	1	23553843	23568266	0.99999758	7.8e-07	1.64e-06
21	24730000	24780000	NA06984	1	24737433	24754647	0.99999898	3.7e-07	6.5e-07
21	24800000	24850000	NA06984	2	24836373	24848697	0.99998715	5.1e-06	7.76e-06
21	24870000	24920000	NA06984	2	24871179	24889728	0.99970121	0.00013514	0.00016365
21	25390000	25440000	NA06984	1	25419023	25433914	0.99999944	1.3e-07	4.3e-07
21	25580000	25630000	NA06984	2	25594016	25610248	0.9999991	2.4e-07	6.5e-07
21	25760000	25810000	NA06984	2	25762527	25774481	0.99999866	3.2e-07	1.02e-06
21	25840000	25890000	NA06984	1	25861996	25881653	0.9999994	2.1e-07	3.9e-07
21	26250000	26300000	NA06984	1	26281298	26298078	0.9999991	2.5e-07	6.5e-07
21	26270000	26320000	NA06984	2	26270254	26292927	0.99999869	3.4e-07	9.8e-07
21	26280000	26330000	NA06984	2	26280553	26292927	0.99999932	1.7e-07	5.1e-07
21	26380000	26430000	NA06984	1	26416338	26426516	0.99998023	5.4e-06	1.437e-05
21	26480000	26530000	NA06984	1	26512463	26529854	0.99999911	3.4e-07	5.5e-07
21	27250000	27300000	NA06984	2	27260014	27277907	0.9999992	2.6e-07	5.4e-07
21	27530000	27580000	NA06984	1	27546004	27563004	0.9999978	6.5e-07	1.55e-06
21	27630000	27680000	NA06984	2	27658158	27670489	0.99998776	5.89e-06	6.35e-06
21	27730000	27780000	NA06984	2	27732153	27749876	0.99999836	2.6e-07	1.38e-06
21	27780000	27830000	NA06984	2	27784766	27800821	0.99999928	1.9e-07	5.2e-07
21	28240000	28290000	NA06984	1	28276542	28287478	0.99999922	1.5e-07	6.2e-07
21	28320000	28370000	NA06984	1	28320289	28332351	0.99999829	4.8e-07	1.24e-06
21	28360000	28410000	NA06984	1	28384892	28402744	0.99999885	3.3e-07	8.2e-07
21	28370000	28420000	NA06984	1	28384892	28402744	0.99999885	3.3e-07	8.2e-07
21	28380000	28430000	NA06984	1	28384892	28402744	0.99999885	3.3e-07	8.2e-07
21	28480000	28530000	NA06984	2	28511912	28524646	0.99943581	0.00038475	0.00017944
21	28500000	28550000	NA06984	1	28506625	28525775	0.99997331	1.761e-05	9.08e-06
21	28580000	28630000	NA06984	1	28612978	28629971	0.99999934	1.4e-07	5.2e-07
21	28750000	28800000	NA06984	1	28782322	28798619	0.99999891	2.5e-07	8.4e-07
21	29200000	29250000	NA06984	1	29227411	29243761	0.99999938	1.9e-07	4.3e-07
21	29230000	29280000	NA06984	1	29232554	29251508	0.99999937	1.5e-07	4.8e-07
21	29570000	29620000	NA06984	1	29591670	29613132	0.99998996	4.47e-06	5.57e-06
21	29580000	29630000	NA06984	1	29591670	29613132	0.99998996	4.47e-06	5.57e-06
21	29590000	29640000	NA06984	1	29591670	29613132	0.99998996	4.47e-06	5.57e-06
21	30540000	30590000	NA06984	2	30556897	30570590	0.999999	2.6e-07	7.4e-07
21	30660000	30710000	NA06984	2	30671747	30690558	0.99995285	9.43e-06	3.772e-05
21	30700000	30750000	NA06984	1	30736145	30749480	0.99999819	5.3e-07	1.29e-06
21	30710000	30760000	NA06984	1	30736145	30755035	0.9999953	1.64e-06	3.06e-06
21	30720000	30770000	NA06984	1	30736145	30755035	0.9999953	1.64e-06	3.06e-06
21	30730000	30780000	NA06984	1	30736145	30755035	0.9999953	1.64e-06	3.06e-06
