chrom	start	end	sample	p-value	src_sample	hap_index	hap_S*_start	hap_S*_end	hap_S*_SNP_num	hap_SNV_num	hap_len	hap_mapped_len	hap_match_num	hap_tot_num	sfs	hap_S*_match(%)	hap_num_match_ref
ms1	NA	NA	0	0.0668255817103	src1	2	NA	NA	18	NA	46905	46000	33	71	108	0.211267605634	664505
ms1	NA	NA	1	0.819414652007	src1	2	NA	NA	0	NA	43480	43000	20	36	108	0.0277777777778	579005
ms1	NA	NA	2	0.194332902004	src1	1	NA	NA	0	NA	30520	30000	30	66	108	0.166666666667	1512378
ms1	NA	NA	3	0.000651769921959	src1	1	NA	NA	33	NA	39215	39000	35	51	108	0.43137254902	1227426
ms1	NA	NA	4	0.0268068553388	src1	1	NA	NA	10	NA	49165	49000	26	47	216	0.255319148936	70951
ms1	NA	NA	5	0.0420773268797	src1	2	NA	NA	11	NA	49165	49000	30	51	216	0.235294117647	85532
ms1	NA	NA	6	0.741810787691	src1	2	NA	NA	0	NA	23230	23000	21	40	216	0.0375	1953392
ms1	NA	NA	7	0.00167318269167	src1	1	NA	NA	23	NA	49545	49000	57	86	108	0.383720930233	60363
ms1	NA	NA	8	0.3165342399	src1	1	NA	NA	7	NA	31185	31000	33	61	216	0.131147540984	1420155
ms1	NA	NA	9	0.586629494904	src1	1	NA	NA	3	NA	21050	21000	14	26	108	0.0576923076923	1888888
ms1	NA	NA	10	0.0368839067659	src1	2	NA	NA	10	NA	18870	18000	16	22	108	0.318181818182	2322882
ms1	NA	NA	11	0.302919181403	src1	1	NA	NA	0	NA	16770	16000	27	40	108	0.175	838556
ms1	NA	NA	12	0.777822125231	src1	2	NA	NA	11	NA	40780	40000	42	93	108	0.0483870967742	1162536
ms1	NA	NA	13	0.197622016411	src1	2	NA	NA	2	NA	18980	18000	30	45	108	0.222222222222	765101
ms1	NA	NA	14	0.0135040756099	src1	1	NA	NA	14	NA	37690	37000	44	57	216	0.315789473684	1053829
ms1	NA	NA	15	0.0308398707159	src1	2	NA	NA	17	NA	31010	31000	27	39	108	0.282051282051	1512327
ms1	NA	NA	16	0.0804998433475	src1	2	NA	NA	12	NA	18535	18000	12	16	108	0.25	2049121
ms1	NA	NA	17	0.226231475296	src1	1	NA	NA	0	NA	45170	45000	30	48	108	0.145833333333	808379
ms1	NA	NA	18	0.168570216626	src1	2	NA	NA	0	NA	24060	24000	25	43	216	0.186046511628	1772827
ms1	NA	NA	19	0.407686718482	src1	2	NA	NA	5	NA	26245	26000	17	30	108	0.1	1524915
ms1	NA	NA	20	0.306678169872	src1	1	NA	NA	15	NA	21900	21000	33	60	108	0.166666666667	787026
ms1	NA	NA	21	0.456314074391	src1	1	NA	NA	23	NA	47095	47000	59	114	216	0.109649122807	617738
ms1	NA	NA	22	0.446987220752	src1	2	NA	NA	22	NA	47095	47000	58	113	216	0.110619469027	649333
ms1	NA	NA	23	0.0351699638165	src1	1	NA	NA	25	NA	31280	31000	41	62	108	0.298387096774	910634
ms1	NA	NA	24	0.91236203427	src1	1	NA	NA	5	NA	47535	47000	39	85	108	0.0235294117647	655959
ms1	NA	NA	25	0.0287361261832	src1	2	NA	NA	21	NA	48370	48000	39	65	108	0.246153846154	372283
ms1	NA	NA	26	0.00214730368889	src1	1	NA	NA	32	NA	47865	47000	42	53	108	0.358490566038	595164
ms1	NA	NA	27	0.02810060381	src1	1	NA	NA	9	NA	38355	38000	35	52	108	0.269230769231	1260826
ms1	NA	NA	28	0.0198631155073	src1	1	NA	NA	18	NA	30875	30000	25	45	216	0.311111111111	1480079
ms1	NA	NA	29	0.0220828414174	src1	2	NA	NA	18	NA	30875	30000	26	46	216	0.304347826087	1503474
ms1	NA	NA	30	0.583889129067	src1	1	NA	NA	10	NA	39215	39000	50	85	216	0.0882352941176	811898
ms1	NA	NA	31	0.635746513536	src1	2	NA	NA	10	NA	47930	47000	63	113	216	0.0840707964602	390079
ms1	NA	NA	32	0.255402002856	src1	2	NA	NA	5	NA	37055	37000	43	86	108	0.151162790698	1082653
ms1	NA	NA	33	0.106972366032	src1	1	NA	NA	8	NA	36910	36000	20	35	216	0.2	951871
ms1	NA	NA	34	0.0270492752296	src1	2	NA	NA	13	NA	43465	43000	24	41	216	0.268292682927	785972
ms1	NA	NA	35	0.0519647828594	src1	1	NA	NA	30	NA	31075	31000	47	77	108	0.292207792208	482037
ms1	NA	NA	36	0.0578836248055	src1	2	NA	NA	18	NA	46600	46000	28	51	108	0.225490196078	605317
ms1	NA	NA	37	0.0027392800447	src1	2	NA	NA	10	NA	20615	20000	11	17	108	0.470588235294	1462062
ms1	NA	NA	38	0.356549857811	src1	2	NA	NA	0	NA	34190	34000	30	44	108	0.113636363636	1395327
ms1	NA	NA	39	0.0643494425615	src1	2	NA	NA	18	NA	38145	38000	49	88	108	0.244318181818	815515
ms1	NA	NA	40	0.242010733592	src1	1	NA	NA	28	NA	43935	43000	50	104	108	0.149038461538	972460
ms1	NA	NA	41	0.291591169711	src1	2	NA	NA	5	NA	26100	26000	33	59	216	0.152542372881	1208657
ms1	NA	NA	42	0.447064707392	src1	2	NA	NA	4	NA	43545	43000	55	111	108	0.112612612613	759804
ms10	NA	NA	43	0.441569160911	src1	1	NA	NA	0	NA	20910	20000	13	23	108	0.0869565217391	1783398
ms10	NA	NA	44	0.494582675564	src1	1	NA	NA	0	NA	41155	41000	26	51	108	0.0882352941176	963482
ms10	NA	NA	45	0.714013952426	src1	1	NA	NA	0	NA	12625	12000	20	47	108	0.0425531914894	1344138
ms10	NA	NA	46	0.264455452714	src1	2	NA	NA	14	NA	40005	40000	19	31	108	0.129032258065	704318
ms10	NA	NA	47	0.249088588547	src1	1	NA	NA	7	NA	43810	43000	31	72	108	0.138888888889	927681
ms10	NA	NA	48	0.453139240897	src1	2	NA	NA	0	NA	39710	39000	42	79	216	0.101265822785	1165217
ms10	NA	NA	49	0.313177389019	src1	2	NA	NA	8	NA	20175	20000	30	49	108	0.163265306122	917677
ms10	NA	NA	50	0.573672533971	src1	1	NA	NA	5	NA	43240	43000	25	47	108	0.0744680851064	826216
ms10	NA	NA	51	0.521842142414	src1	1	NA	NA	15	NA	44440	44000	15	32	108	0.0625	162918
ms10	NA	NA	52	0.37359463285	src1	2	NA	NA	11	NA	38900	38000	11	27	216	0.0740740740741	86898
ms10	NA	NA	53	0.116724183663	src1	1	NA	NA	5	NA	20755	20000	20	32	108	0.21875	2099958
ms10	NA	NA	54	0.63076438891	src1	1	NA	NA	10	NA	30885	30000	47	81	216	0.0864197530864	470257
ms10	NA	NA	55	0.595595168465	src1	2	NA	NA	13	NA	45925	45000	63	108	216	0.0925925925926	480426
ms10	NA	NA	56	0.123167067953	src1	2	NA	NA	30	NA	47060	47000	48	78	108	0.179487179487	838137
ms10	NA	NA	57	0.686875157391	src1	1	NA	NA	1	NA	37680	37000	33	53	108	0.0566037735849	1270719
ms10	NA	NA	58	0.395376468192	src1	2	NA	NA	2	NA	41490	41000	48	90	108	0.116666666667	1001571
ms10	NA	NA	59	0.000541408231305	src1	2	NA	NA	45	NA	48660	48000	54	82	108	0.40243902439	315842
ms10	NA	NA	60	0.11684991784	src1	1	NA	NA	1	NA	47460	47000	63	104	108	0.201923076923	453384
ms10	NA	NA	61	0.179785737844	src1	1	NA	NA	5	NA	40440	40000	29	53	108	0.160377358491	1055155
ms10	NA	NA	62	0.00297934652366	src1	1	NA	NA	27	NA	38245	38000	36	56	108	0.375	1262692
ms10	NA	NA	63	0.68751544364	src1	1	NA	NA	0	NA	37765	37000	40	88	216	0.0625	1214091
ms10	NA	NA	64	0.0333721756493	src1	2	NA	NA	7	NA	41135	41000	24	38	108	0.263157894737	910518
ms10	NA	NA	65	0.0117614655243	src1	1	NA	NA	44	NA	43200	43000	69	110	108	0.354545454545	170641
ms10	NA	NA	66	0.171652157059	src1	1	NA	NA	12	NA	47665	47000	39	76	216	0.157894736842	619129
ms10	NA	NA	67	0.177107118978	src1	2	NA	NA	12	NA	47665	47000	40	77	216	0.155844155844	634135
ms10	NA	NA	68	0.314171138814	src1	2	NA	NA	10	NA	45425	45000	36	57	108	0.122807017544	929642
ms10	NA	NA	69	0.00412682911462	src1	2	NA	NA	11	NA	48770	48000	68	116	108	0.362068965517	126973
ms10	NA	NA	70	0.0580611929112	src1	1	NA	NA	11	NA	40890	40000	26	43	108	0.232558139535	972628
ms100	NA	NA	71	0.194558608347	src1	1	NA	NA	0	NA	24485	24000	45	67	108	0.238805970149	171536
ms100	NA	NA	72	0.000376266565206	src1	2	NA	NA	49	NA	37390	37000	50	70	108	0.5	712260
ms100	NA	NA	73	0.0208618156759	src1	2	NA	NA	9	NA	27130	27000	16	25	216	0.32	1353908
ms100	NA	NA	74	0.0677087933115	src1	1	NA	NA	5	NA	48800	48000	23	39	108	0.205128205128	101906
ms100	NA	NA	75	0.0325985001455	src1	1	NA	NA	42	NA	38920	38000	62	87	108	0.310344827586	216420
ms100	NA	NA	76	0.118983853722	src1	1	NA	NA	14	NA	42935	42000	27	45	108	0.188888888889	891288
ms100	NA	NA	77	0.00496397442463	src1	1	NA	NA	44	NA	45150	45000	49	89	216	0.331460674157	986104
ms100	NA	NA	78	0.628996032547	src1	1	NA	NA	0	NA	43560	43000	60	115	108	0.0869565217391	520484
ms100	NA	NA	79	0.0133309338429	src1	1	NA	NA	8	NA	44725	44000	34	45	108	0.288888888889	944644
ms100	NA	NA	80	0.42904513275	src1	2	NA	NA	15	NA	44160	44000	46	90	108	0.105555555556	1063351
ms100	NA	NA	81	0.0943675091598	src1	1	NA	NA	5	NA	42530	42000	33	56	108	0.196428571429	1046694
ms100	NA	NA	82	0.114195643936	src1	2	NA	NA	10	NA	23570	23000	15	24	108	0.208333333333	1652041
ms100	NA	NA	83	0.0119817816266	src1	2	NA	NA	10	NA	31760	31000	25	37	108	0.337837837838	1424495
ms100	NA	NA	84	0.729232736839	src1	2	NA	NA	18	NA	41355	41000	66	114	108	0.0789473684211	192345
ms100	NA	NA	85	0.118867180863	src1	2	NA	NA	6	NA	33390	33000	39	68	216	0.205882352941	1159478
ms100	NA	NA	86	0.587958510983	src1	1	NA	NA	0	NA	31970	31000	24	52	216	0.0673076923077	1380991
ms100	NA	NA	87	0.0076089879517	src1	1	NA	NA	18	NA	45955	45000	21	38	216	0.302631578947	453673
ms100	NA	NA	88	0.0076089879517	src1	2	NA	NA	18	NA	45955	45000	21	38	216	0.302631578947	453673
ms100	NA	NA	89	0.365180686673	src1	2	NA	NA	2	NA	29815	29000	32	50	108	0.12	1450355
ms100	NA	NA	90	0.392690738665	src1	2	NA	NA	4	NA	48335	48000	54	104	108	0.115384615385	438046
ms100	NA	NA	91	0.0501970717324	src1	1	NA	NA	13	NA	22245	22000	15	25	216	0.28	1823193
ms100	NA	NA	92	0.0501970717324	src1	2	NA	NA	13	NA	22245	22000	15	25	216	0.28	1823193
ms100	NA	NA	93	0.00487239962151	src1	2	NA	NA	20	NA	48455	48000	22	35	108	0.314285714286	141613
ms100	NA	NA	94	0.470033057466	src1	1	NA	NA	0	NA	44270	44000	51	97	108	0.103092783505	943205
ms100	NA	NA	95	0.650558077635	src1	1	NA	NA	0	NA	34020	34000	13	25	108	0.04	431301
ms100	NA	NA	96	0.000134384628353	src1	1	NA	NA	35	NA	46415	46000	54	68	108	0.455882352941	818545
ms100	NA	NA	97	0.335763187064	src1	1	NA	NA	29	NA	49070	49000	60	117	108	0.132478632479	153369
ms100	NA	NA	98	0.596552355941	src1	2	NA	NA	0	NA	24795	24000	42	72	108	0.0972222222222	327469
ms100	NA	NA	99	0.10987735174	src1	1	NA	NA	13	NA	12760	12000	14	23	108	0.260869565217	2902690
ms100	NA	NA	100	0.0622038987332	src1	2	NA	NA	16	NA	32065	32000	40	72	108	0.256944444444	1032796
ms100	NA	NA	101	0.0666793959335	src1	1	NA	NA	25	NA	47165	47000	39	84	108	0.208333333333	743692
