chrom	start	end	sample	p-value	src_sample	hap_index	S*_start	S*_end	S*_SNP_num	hap_dSNV_num	hap_len	hap_mapped_len	hap_match_num	hap_tot_num	hap_dSNP_per_site_num	hap_S*_match(%)	hap_num_match_ref
21	10520000	10570000	NA06984	1.0	DenisovaPinky	1	10525346	10544819	2	14	19473	19000	0.0	15	0.503571	0.0	665
21	10740000	10790000	NA06984	1.0	DenisovaPinky	1	10768104	10784188	2	29	16084	16000	0.0	35	0.589655	0.0	142
21	10750000	10800000	NA06984	1.0	DenisovaPinky	1	10768104	10784188	2	29	16084	16000	0.0	35	0.589655	0.0	142
21	10760000	10810000	NA06984	1.0	DenisovaPinky	1	10768104	10784188	2	29	16084	16000	0.0	35	0.589655	0.0	142
21	10980000	11030000	NA06984	1.0	DenisovaPinky	2	10982565	10997128	4	22	14563	14000	0.0	24	0.713636	0.0	2275
21	14590000	14640000	NA06984	1.0	DenisovaPinky	2	14614707	14630073	4	30	15366	15000	0.0	30	0.54	0.0	159
21	14670000	14720000	NA06984	1.0	DenisovaPinky	2	14681221	14691232	5	11	10011	10000	0.0	12	0.477273	0.0	16367
21	14680000	14730000	NA06984	1.0	DenisovaPinky	2	14681221	14691232	5	11	10011	10000	0.0	12	0.477273	0.0	16367
21	14710000	14760000	NA06984	1.0	DenisovaPinky	2	14741698	14759452	4	25	17754	17000	0.0	26	0.52	0.0	980
21	14720000	14770000	NA06984	1.0	DenisovaPinky	2	14741698	14761188	5	27	19490	19000	0.0	28	0.511111	0.0	270
21	14860000	14910000	NA06984	0.286604	DenisovaPinky	2	14891329	14907226	8	17	15897	15000	3.0	17	0.226471	0.176471	1284
21	15480000	15530000	NA06984	0.301146	DenisovaPinky	1	15480003	15495503	9	23	15500	15000	13.0	57	0.373913	0.22807	611
21	15650000	15700000	NA06984	0.488889	DenisovaPinky	2	15680297	15697042	10	24	16745	16000	12.0	49	0.60625	0.244898	2115
21	15700000	15750000	NA06984	0.690554	DenisovaPinky	2	15703031	15726002	6	15	22971	22000	7.0	56	0.486667	0.125	614
21	15710000	15760000	NA06984	0.539167	DenisovaPinky	1	15715176	15735031	4	11	19855	19000	4.0	43	0.290909	0.093023	1200
